SpaceBarMetric,9
,
TimesDiedMetric,0
,
Level1FinishTimeMetric,
,
SpaceBarMetric,9
,
TimesDiedMetric,0
,
Level1FinishTimeMetric,
,
SpaceBarMetric,6
,
TimesDiedMetric,0
,
Level1FinishTimeMetric,
,
SpaceBarMetric,4
,
TimesDiedMetric,0
,
Level1FinishTimeMetric,
,
SpaceBarMetric,4
,
TimesDiedMetric,0
,
Level1FinishTimeMetric,
,343.1513
,
SpaceBarMetric,3
,
TimesDiedMetric,0
,
Level1FinishTimeMetric,
,
SpaceBarMetric,3
,
TimesDiedMetric,0
,
Level1FinishTimeMetric,
,
SpaceBarMetric,3
,
TimesDiedMetric,0
,
Level1FinishTimeMetric,
,
SpaceBarMetric,3
,
TimesDiedMetric,0
,
Level1FinishTimeMetric,
,
SpaceBarMetric,3
,
TimesDiedMetric,0
,
Level1FinishTimeMetric,
,
SpaceBarMetric,3
,
TimesDiedMetric,0
,
Level1FinishTimeMetric,
,
SpaceBarMetric,3
,
TimesDiedMetric,0
,
Level1FinishTimeMetric,
,
SpaceBarMetric,3
,
TimesDiedMetric,0
,
Level1FinishTimeMetric,
,
SpaceBarMetric,3
,
TimesDiedMetric,0
,
Level1FinishTimeMetric,
,
SpaceBarMetric,3
,
TimesDiedMetric,0
,
Level1FinishTimeMetric,
,
SpaceBarMetric,3
,
TimesDiedMetric,0
,
Level1FinishTimeMetric,
,
SpaceBarMetric,3
,
TimesDiedMetric,0
,
Level1FinishTimeMetric,
,
SpaceBarMetric,3
,
TimesDiedMetric,0
,
Level1FinishTimeMetric,
,
SpaceBarMetric,3
,
TimesDiedMetric,0
,
Level1FinishTimeMetric,
,
SpaceBarMetric,3
,
TimesDiedMetric,0
,
Level1FinishTimeMetric,
,
SpaceBarMetric,3
,
TimesDiedMetric,0
,
Level1FinishTimeMetric,
,475.8793
